gene1,gene2,value,rank
AT1G15950,AT2G37040,0.5858780291749515,7
AT5G55050,AT3G59880,0.5933735246825463,7
AT4G21870,AT2G31400,0.2285530461895198,7
AT3G50470,AT3G25882,0.674856013835016,7
AT1G52200,AT1G51890,0.7749790111226519,7
AT3G14240,AT2G19170,0.39718950813064857,8
AT4G20860,AT2G17740,0.7830208966016311,8
AT5G44530,AT5G59080,0.3158225066470689,8
AT3G52450,AT3G19010,0.7776951221055124,8
AT4G34980,AT5G45650,0.4600925696388296,8
AT1G49000,AT4G01700,0.7438695386815545,8
AT1G51620,AT3G22060,0.801538559904609,8
AT4G35180,AT4G38560,0.7405604118372545,8
AT5G59080,AT2G39850,0.2318612885444796,8
AT3G49780,AT3G29034,0.6937649285265725,8
AT4G01250,AT2G02220,0.8286721364070496,8
AT2G39200,AT1G52200,0.8252661765181291,8
AT5G44585,AT2G44380,0.7183976612017668,8
AT5G04140,AT5G59080,0.3937602547948279,8
AT2G39530,AT1G65690,0.7210691775028416,8
AT5G45650,AT2G15620,0.2992619645486377,8
AT4G20860,AT1G52200,0.7739273938855471,8
AT3G52450,AT2G36690,0.8058917888811398,8
AT5G45640,AT5G59100,0.1395027099294262,8
AT4G20000,AT5G53110,0.7539623413042411,8
AT4G20850,AT1G32950,0.3843027194468669,8
AT2G05920,AT5G44530,0.3341895834505084,8
AT2G30490,AT2G42360,0.7373096383927098,8
AT4G28140,AT1G37130,0.35778234773259565,8
AT1G02450,AT3G21080,0.651899733826504,8
AT1G51800,AT3G46280,0.7874839446004447,8
AT3G19010,AT1G61360,0.7629680068639606,8
AT5G67450,AT2G44380,0.6745595451861686,8
AT1G12940,AT5G37600,0.6308474977110319,8
AT5G13930,AT5G51750,0.3055432783354454,8
AT5G01540,AT2G44370,0.8236076881451109,8
AT1G72300,AT1G15950,0.3628292321758272,8
AT1G72300,AT3G19930,0.5276956992226456,8
AT5G01540,AT3G19010,0.8055334478301652,8
AT3G52450,AT1G19380,0.7752120788948892,9
AT3G46280,AT1G52200,0.7686242585163758,9
AT5G67450,AT1G49000,0.7174011490833634,9
AT1G70530,AT1G61380,0.7073943768453126,9
AT1G64170,AT2G44380,0.658457766047354,9
AT4G34980,AT5G44530,0.43546205994663467,9
AT2G06050,AT4G24160,0.6115698905896821,9
AT5G44530,AT5G45650,0.2974620759473487,9
AT3G14240,AT5G44530,0.3749233338043313,9
AT4G35180,AT5G01540,0.803177438384404,9
AT3G29034,AT2G39530,0.693593738508892,9
AT1G51800,AT2G44370,0.8102143358631501,9
AT5G07440,AT2G30360,0.4789733395543892,9
AT5G53110,AT3G26210,0.6786265287146155,9
AT2G05920,AT5G59130,0.3294288561657994,9
AT1G51800,AT1G52200,0.7769046159262146,9
AT5G59130,AT5G59080,0.28807157786209786,9
AT3G48650,AT1G64280,0.6823684237992065,9
AT5G51750,AT4G00230,0.27947073568500763,9
AT2G39530,AT2G17740,0.782904108510364,9
AT4G38560,AT2G37710,0.6929933845278523,9
AT4G20000,AT1G30730,0.7513761600092124,9
AT4G20860,AT1G65690,0.7426622661954732,9
AT1G51620,AT2G17740,0.7920395645313391,9
AT4G20860,AT1G51890,0.7486253189991181,9
AT1G70530,AT2G02220,0.8261471695546427,9
AT4G20850,AT5G19660,0.2093689120610089,9
AT2G15620,AT3G19450,0.2968408279293682,9
AT5G04140,AT5G59130,0.36896967015807136,9
AT4G01250,AT2G39200,0.8250385536676352,9
AT4G01250,AT5G39580,0.7560847379618184,9
AT4G21326,AT1G37130,0.3505624383675441,9
AT5G45650,AT3G19450,0.27803146905199944,9
AT4G20850,AT5G58840,0.19793336547084656,9
AT2G02220,AT2G44490,0.8148999850273101,10
AT1G19380,AT2G44490,0.7130419606003845,10
AT5G06950,AT4G21323,0.10624650977028262,10
AT1G51800,AT2G19190,0.7754521995331198,10
AT3G19010,AT4G08850,0.7549090182432023,10
AT5G45650,AT2G39850,0.26512095996272306,10
AT2G05920,AT5G53460,0.3291043344717493,10
AT2G30490,AT2G39530,0.6928598687991389,10
AT5G67450,AT2G37710,0.6579217875097104,10
AT3G45060,AT4G30190,0.4282840480047507,10
AT5G01540,AT2G36690,0.8023853163565928,10
AT4G38560,AT1G61380,0.7015677216809723,10
AT3G26210,AT3G50470,0.6491381619233159,10
AT5G04140,AT5G67360,0.3608722502610791,10
AT4G35180,AT2G42360,0.7293670326995515,10
AT1G52200,AT1G51620,0.7814261854932021,10
AT1G32950,AT5G19660,0.3832572995336596,10
AT3G14240,AT5G53460,0.3717948187237155,10
AT3G46280,AT2G39530,0.7314049369922847,10
AT2G39200,AT5G01540,0.8087711439106277,10
AT2G17740,AT5G48430,0.7794828270085129,10
AT2G19170,AT5G59810,0.216362397002003,10
AT2G36690,AT3G22060,0.7764823640320722,10
AT3G48650,AT4G01250,0.7422242414497333,10
AT5G59130,AT5G67360,0.26421660425517873,10
AT4G34980,AT2G15620,0.4041369940976017,10
AT5G66420,AT1G30720,0.7022516331920954,10
AT2G44370,AT1G49000,0.8014516418323907,10
AT1G30600,AT5G51750,0.2369603758612331,11
AT2G30490,AT1G65690,0.6947742402755346,11
AT5G53110,AT3G29034,0.6757652029106235,11
AT5G53110,AT5G50200,0.6773864619654313,11
AT4G20430,AT5G59130,0.26000742821633616,11
AT4G23210,AT2G42360,0.7273454712328336,11
AT1G51620,AT5G39580,0.770355358102489,11
AT5G50200,AT2G39530,0.6806811731256629,11
AT5G07440,AT1G37130,0.4555964655661116,11
AT4G08850,AT3G19930,0.6741308300611271,11
AT2G37040,AT2G19190,0.6264799091050811,11
AT4G35180,AT2G37710,0.7193058889029902,11
AT5G39580,AT4G31550,0.7488729822821987,11
AT3G14067,AT5G67360,0.2479890826560928,11
AT1G52200,AT2G36690,0.7677298539322449,11
AT2G05920,AT2G31400,0.3284922806057297,11
AT2G44380,AT1G05300,0.6535276093771614,11
AT4G20860,AT2G30490,0.7394951345673367,11
AT5G06950,AT5G03620,0.141859258847496,11
AT5G01540,AT2G44490,0.7614362448868608,11
AT2G17740,AT3G22060,0.774627867991558,11
AT1G64280,AT2G44490,0.711163870205645,11
AT5G04140,AT5G51750,0.3451235098642423,11
AT3G14240,AT5G13930,0.3576547003612817,11
AT3G46280,AT2G44370,0.7981417199330515,11
AT1G51800,AT5G48430,0.7642581742619241,11
AT5G45650,AT5G67360,0.2617163811574407,11
AT4G34980,AT5G53460,0.396554579194116,11
AT1G61360,AT3G22060,0.7204324741081933,11
AT2G22122,AT2G15620,0.27422805225306196,11
AT5G40780,AT3G25882,0.6347720312492188,11
AT1G51800,AT2G02220,0.8072961461358287,11
AT2G39200,AT3G22060,0.8069855915690888,11
AT1G61380,AT2G37710,0.7013676124078424,11
AT1G30730,AT2G44370,0.7919553826780165,12
AT4G34980,AT5G13930,0.32425560634932066,12
AT3G14240,AT2G31400,0.34029259549249946,12
AT2G05920,AT1G30600,0.30651776200412656,12
AT4G20000,AT1G51620,0.7681871981762821,12
AT4G23210,AT2G17740,0.7644889079885917,12
AT2G36690,AT5G39580,0.7656505130309442,12
AT5G04140,AT5G45650,0.2891716100053029,12
AT5G44530,AT3G19450,0.23422239345801696,12
AT2G06050,AT4G28140,0.4119118202010971,12
AT4G23210,AT2G37710,0.7259236842919685,12
AT2G25470,AT4G27730,0.5356112412140687,12
AT4G35180,AT2G02220,0.7841243408473146,12
