gene1,gene2,value,rank
AT4G20000,AT1G30730,0.3581358754960442,11
AT5G44585,AT1G51620,0.3858943544637601,11
AT1G51800,AT2G19190,0.2967516444185836,11
AT2G44370,AT2G44380,0.4433256792998104,11
AT5G59130,AT1G01900,0.1180865808554945,12
AT2G36690,AT1G61360,0.3910060226486538,12
AT2G30490,AT2G39530,0.2784347833857865,12
AT4G20860,AT2G39200,0.4665643049009574,12
AT3G29034,AT2G42360,0.3203549183742003,12
AT5G51750,AT4G31550,0.2587281332520919,12
AT1G19380,AT2G44490,0.26912323210287914,12
AT5G53110,AT5G37600,0.2916475769930642,12
AT3G26210,AT5G37600,0.2550752146580495,12
AT1G51890,AT2G36690,0.3873133278553751,12
AT5G04140,AT4G34980,0.2316053438483745,12
AT2G19170,AT1G32970,0.09060499588805326,12
AT3G49780,AT5G67360,0.2767416719518561,12
AT4G01250,AT1G64280,0.3342296770523723,12
AT5G67450,AT3G21080,0.31330228569066043,12
AT5G67450,AT1G51620,0.3684101100566204,12
AT1G65690,AT2G17740,0.3336251312413425,12
AT5G44585,AT2G39530,0.3190175989709685,12
AT1G71950,AT5G67360,0.17599825997237595,12
AT2G44370,AT5G48430,0.42050491582424576,12
AT5G46330,AT5G19660,0.09954510625664126,12
AT4G21870,AT2G04160,0.1065452260715234,12
AT4G20000,AT4G23210,0.3570338763675105,12
AT1G52200,AT1G61360,0.4130030848813033,12
AT4G21326,AT4G20850,0.08582955188255448,12
AT1G30730,AT2G02220,0.4179788148698009,12
AT1G12940,AT2G31400,0.10886677181979487,12
AT5G01540,AT3G19010,0.343998549887067,12
AT1G64280,AT3G50480,0.24384124254304165,12
AT1G64280,AT3G19010,0.29165305530367625,12
AT4G20860,AT3G52450,0.3492507425207032,12
AT5G11940,AT1G32970,0.07150190849127269,12
AT5G04140,AT3G14240,0.20107207919339465,13
AT1G65490,AT3G59880,0.19529765192814108,13
AT2G44490,AT4G31800,0.2663498164684424,13
AT3G46280,AT5G40780,0.2807948935925655,13
AT5G01540,AT1G61380,0.3419308651788444,13
AT5G10450,AT3G14067,0.09550116987012712,13
AT3G14240,AT4G31800,0.2142939752314412,13
AT3G45060,AT5G59130,0.11069513043116984,13
AT3G14067,AT1G35160,0.10432940229816867,13
AT5G37600,AT1G05300,0.23476194199840394,13
AT3G50470,AT4G31800,0.2583052840233313,13
AT5G59190,AT4G15040,0.06499288649308688,13
AT3G14240,AT3G49780,0.2668155969170429,13
AT3G29034,AT2G17740,0.3320470737711638,13
AT1G49000,AT2G44490,0.2883936748036533,13
AT4G08850,AT1G51680,0.29785267674320304,13
AT2G30490,AT1G05300,0.25195010278035634,13
AT3G48650,AT1G64280,0.2403871596102012,13
AT4G28140,AT4G39400,0.07898026578117046,13
AT4G20000,AT2G39200,0.461641909256975,13
AT1G51800,AT2G42360,0.28702474677418754,13
AT4G20850,AT1G32950,0.0928163301858933,13
AT4G34980,AT2G39530,0.2783444318688686,13
AT4G24160,AT4G31800,0.2198460599499925,13
AT4G23210,AT3G21080,0.2924406575500289,13
AT5G06950,AT5G11940,0.061541290358405824,13
AT3G19010,AT1G61360,0.3904977350417622,13
AT2G39530,AT2G36690,0.3635665373893968,13
AT3G19010,AT5G39580,0.3354478482192713,13
AT4G01250,AT2G44490,0.33018009045469165,13
AT4G01250,AT2G02220,0.4108151249739556,13
AT1G51620,AT2G17740,0.36688241625008944,13
AT5G07440,AT5G66420,0.20624366535263805,13
AT5G58840,AT4G00230,0.07772169218926206,13
AT4G23210,AT2G44370,0.4128540032887047,13
AT4G35180,AT1G51890,0.3726643803054268,13
AT1G52200,AT2G44370,0.40827792233739335,14
AT1G37130,AT2G37040,0.15593848132014074,14
AT1G30600,AT1G51680,0.16568775024789573,14
AT2G22122,AT5G13930,0.09627887185709927,14
AT4G23210,AT2G37710,0.2899606038966429,14
AT4G39400,AT5G67090,0.09018741614304893,14
AT5G37600,AT5G40780,0.273488320125328,14
AT2G44380,AT1G61380,0.2684204841072182,14
AT4G20000,AT3G29034,0.3124676998662161,14
AT4G34980,AT5G51750,0.22849219753493635,14
AT5G50200,AT1G30720,0.3098971538880895,14
AT3G50480,AT1G65690,0.2945227467263394,14
AT5G66420,AT2G37040,0.2036459405698192,14
AT1G77380,AT5G50200,0.26805186613209875,14
AT3G21080,AT2G37710,0.25625987498366465,14
AT5G67450,AT2G37710,0.2867153910940907,14
AT4G31550,AT3G22060,0.2897989346383025,14
AT2G17740,AT3G22060,0.3302635101405902,14
AT5G54160,AT4G01700,0.2002685399369301,14
AT2G25470,AT4G38560,0.19203960146458088,14
AT5G39580,AT4G31550,0.3319893761445423,14
AT1G15950,AT5G13930,0.09524582848981566,14
AT3G48650,AT3G25882,0.2382709702667858,14
AT2G30490,AT1G61360,0.3699954098924423,14
AT1G19380,AT4G31800,0.24634454855231724,14
AT1G04110,AT3G45060,0.1054965356672848,14
AT5G53110,AT3G29034,0.3044039468704609,14
AT3G52450,AT2G36690,0.36154090152149454,14
AT2G30490,AT2G42360,0.28659624209832724,14
AT4G35180,AT5G67450,0.3283126284726592,14
AT3G26210,AT3G25882,0.24418523400836456,14
AT4G20860,AT1G52200,0.4023655535608481,14
AT4G35180,AT2G02220,0.4034808653471624,14
