gene1,gene2,value
AT4G08850,AT5G01540,0.3245816296929913
AT3G25882,AT3G50470,0.32398122042426913
AT3G50470,AT3G25882,0.32398122042426913
AT3G25882,AT2G37710,0.32377267079316585
AT2G37710,AT3G25882,0.32377267079316585
AT1G05300,AT2G05920,0.3234938860152217
AT2G05920,AT1G05300,0.3234938860152217
AT2G44380,AT2G17740,0.32301509023363617
AT5G53110,AT1G49000,0.3229951681238712
AT1G49000,AT5G53110,0.3229951681238712
AT2G44490,AT3G19010,0.322827687252764
AT3G19010,AT2G44490,0.322827687252764
AT5G67450,AT2G02220,0.3227940520656898
AT3G19010,AT1G30720,0.3222192195423721
AT5G67450,AT5G01540,0.32153081084389434
AT2G44380,AT1G52200,0.321171799002262
AT4G34980,AT1G51890,0.3211224176168046
AT2G44380,AT5G67450,0.3211214301507324
AT2G42360,AT3G19010,0.320984790529923
AT3G19010,AT2G42360,0.320984790529923
AT5G66420,AT1G51680,0.3208300112026998
AT1G51680,AT5G66420,0.3208300112026998
AT4G08850,AT3G19930,0.32038264789635185
AT3G19930,AT4G08850,0.32038264789635185
AT2G42360,AT3G29034,0.3203549183742003
AT2G30490,AT3G22060,0.32020133268659223
AT3G22060,AT2G30490,0.32020133268659223
AT1G49000,AT2G36690,0.32012546053000124
AT5G40780,AT1G61380,0.319866672502231
AT1G61380,AT5G40780,0.319866672502231
AT2G44380,AT4G01250,0.3197889945749137
AT2G39530,AT5G44585,0.3190175989709685
AT3G48650,AT4G01250,0.3188611116907085
AT4G23210,AT1G61380,0.3176182107547261
AT1G61380,AT4G23210,0.3176182107547261
AT5G50200,AT2G39200,0.3170912960130425
AT1G64170,AT1G05300,0.3163113905185
AT1G05300,AT1G64170,0.3163113905185
AT1G61380,AT1G51890,0.3162492345313899
AT3G49780,AT2G05920,0.3161232029293628
AT2G05920,AT3G49780,0.3161232029293628
AT5G40780,AT5G44585,0.31530503837015145
AT4G23210,AT2G30490,0.31515746028803626
AT2G30490,AT4G23210,0.31515746028803626
AT5G50200,AT2G44370,0.3150286100697306
AT4G08850,AT4G01250,0.3135275890171885
AT3G21080,AT5G67450,0.31330228569066043
AT3G50480,AT3G21080,0.3131036072540112
AT3G21080,AT3G50480,0.3131036072540112
AT3G21080,AT5G44585,0.3130061998273699
AT2G42360,AT2G39200,0.3124320605580131
AT4G08850,AT5G39580,0.3119161553438789
AT3G46280,AT2G36690,0.3118940805020891
AT2G42360,AT5G39580,0.3118911926730625
AT3G50470,AT1G70530,0.3116360911197387
AT1G70530,AT3G50470,0.3116360911197387
AT3G46280,AT5G48430,0.3111907307460373
AT5G48430,AT3G46280,0.3111907307460373
AT2G30490,AT2G39200,0.31093089251474737
AT2G42360,AT3G49780,0.3100665019589022
AT3G49780,AT2G42360,0.3100665019589022
AT1G19380,AT5G39580,0.3099475088061323
AT5G50200,AT1G30720,0.3098971538880895
AT3G25882,AT1G51890,0.3097134294308199
AT2G05920,AT4G34980,0.3096239604355873
AT4G34980,AT2G05920,0.3096239604355873
AT1G49000,AT4G35180,0.30959127035357303
AT3G48650,AT5G01540,0.30923510677781896
AT3G49780,AT4G20000,0.30844665328580545
AT4G23210,AT2G02220,0.3080820751270528
AT4G08850,AT1G30720,0.3076508166205576
