gene1,gene2,value,rank
AT1G30720,AT4G31550,0.027092320572421245,8
AT5G45640,AT1G62340,0.010505048250525692,8
AT5G11940,AT5G58840,0.011535415275777632,8
AT4G21870,AT2G31400,0.013314590014693569,8
AT4G01250,AT2G44490,0.037290835023670726,8
AT2G04160,AT1G32950,0.020939870135230045,8
AT1G21670,AT3G26210,0.010336824283216958,8
AT4G24160,AT1G61360,0.02765066541399376,8
AT4G24160,AT2G30360,0.02102460001782055,8
AT4G20430,AT4G00230,0.012521238147957556,8
AT4G39400,AT5G03620,0.008271094187822542,8
AT4G30190,AT5G59090,0.034742046655367134,8
AT2G44370,AT2G17740,0.060011652488448426,8
AT2G19170,AT1G62340,0.01540959207354885,8
AT2G41220,AT4G30190,0.017481965715219747,9
AT1G64170,AT4G30190,0.016154926297041947,9
AT5G67450,AT2G44380,0.019709306576523446,9
AT4G35180,AT4G23210,0.027108226897681702,9
AT3G14067,AT2G39850,0.01468992796883816,9
AT3G45060,AT5G45650,0.019880361282920624,9
AT3G19930,AT1G20160,0.02971816887670058,9
AT2G19170,AT4G30190,0.015252903098364438,9
AT5G50200,AT5G37600,0.03617668997106538,9
AT3G50470,AT5G40780,0.023054380417123214,9
AT2G44370,AT2G02220,0.053147992509785504,9
AT5G53110,AT1G05300,0.02580347591748958,9
AT5G53110,AT3G29034,0.02578280360246185,9
AT2G06050,AT4G28140,0.018584314596711976,9
AT5G04140,AT5G58840,0.022200789613811615,9
AT5G03620,AT4G15040,0.00840119373135835,9
AT5G04140,AT2G30360,0.02884404423241964,9
AT5G67450,AT1G65490,0.031052054695704264,9
AT1G51890,AT3G26210,0.03823619119224058,9
AT5G58820,AT1G32970,0.00942590348007285,9
AT3G26210,AT2G37710,0.029759199573353205,9
AT1G04110,AT2G01950,0.010385401549471427,9
AT1G64170,AT1G12940,0.022913312401133274,9
AT5G59810,AT4G00230,0.013899687298514882,9
AT4G33430,AT2G15620,0.009805618170333324,9
