Gene1,Gene2,Score
AT5G28040,AT5G57625,0.012235688788188542
AT2G32250,AT1G19400,0.012232829721562952
AT5G12040,AT1G20470,0.012208372902151703
AT2G04480,AT5G37780,0.012206969232879826
AT3G59460,AT2G26150,0.012167490737912838
AT3G05850,AT2G13790,0.012165572900475192
AT5G62630,AT3G33000,0.012156861319605776
AT5G59250,AT5G04790,0.012154207777122238
AT4G11680,AT3G51590,0.012152993381309395
AT5G61920,AT1G16400,0.012143503595983252
AT4G37210,AT5G02820,0.012137681743903323
AT1G12970,AT2G12420,0.012122692528649193
AT1G11990,AT3G48930,0.012116835929652434
AT2G11280,AT1G04980,0.012098352898968292
AT2G34670,AT1G52410,0.012086548678710854
AT2G40650,AT3G27630,0.0120515480013249
AT4G01575,AT5G12130,0.012027082960097638
AT2G23430,AT2G28850,0.012026951892810651
AT1G71270,AT4G23700,0.012018589471302426
AT2G14470,AT1G64450,0.011995948646308017
AT1G55670,AT2G25450,0.011959661781618518
AT4G08560,AT2G39310,0.011954368186460165
AT1G70750,AT4G28750,0.011947881677509209
AT5G39861,AT3G51240,0.011944424724934205
AT3G23160,AT4G22880,0.011916965831758658
AT1G45000,AT2G34420,0.01191062405006799
AT4G39680,AT3G33000,0.011900220387288274
AT3G13120,AT5G42800,0.011859580499918363
AT3G59780,AT1G52890,0.011856962074355338
AT5G19430,AT2G17850,0.011855567206935905
AT3G45890,AT5G24655,0.011850161055695068
AT2G19490,AT5G11910,0.011840777928909018
AT4G12350,AT3G01680,0.011809568346917232
AT5G20450,AT2G14620,0.011803538247334516
AT4G10840,AT1G08830,0.011762838618926116
AT2G41360,AT1G06680,0.011753605337529841
AT4G03230,AT5G05500,0.01174988797593863
AT1G09440,AT5G52640,0.01173622750799096
AT4G15830,AT4G23770,0.011730111696202963
AT5G67530,AT3G05690,0.011720539347202153
AT4G09320,AT5G47130,0.011714567870274856
AT5G24670,AT3G06340,0.011713224425170145
AT1G70750,AT1G55670,0.011704610975690782
AT5G19180,AT3G33004,0.011691381127167416
AT3G20460,AT1G51650,0.011681735345975278
AT3G55280,AT4G24190,0.011670271840548896
AT3G14200,AT3G47470,0.011567096570551704
AT5G39861,AT5G05270,0.011565186635487988
AT2G19790,AT3G47420,0.011545840792002248
AT3G54220,AT3G48090,0.011529267156787818
AT5G66490,AT5G24590,0.011525441343081741
AT3G09850,AT1G17420,0.011505158838109208
AT1G68050,AT2G14750,0.011504129514101619
AT5G03430,AT3G47470,0.011491473166602623
AT2G05670,AT1G79920,0.011485761546974125
AT3G15730,AT3G53730,0.011478533242503194
AT3G17910,AT3G58990,0.011462625088322234
AT5G67320,AT3G09350,0.011413524163158887
AT5G55650,AT1G06750,0.011407192360838321
AT5G15920,AT5G10040,0.011406063667525827
AT1G21650,AT1G30380,0.011384386324852391
AT4G15730,AT3G06850,0.011374845499956083
AT5G09730,AT2G23810,0.011373974112031261
AT5G50420,AT5G12860,0.011334148474597766
AT4G12540,AT2G28860,0.01132678315639061
AT2G14470,AT1G64370,0.011326377164091139
AT1G42705,AT4G29230,0.011325269770646846
AT3G01090,AT5G10040,0.011320860396653804
AT1G65660,AT4G23810,0.011315163954646436
AT4G16690,AT5G41300,0.011309752109471698
AT5G53390,AT1G02405,0.011300804233381248
AT4G39680,AT3G32990,0.01129461037321245
AT3G25980,AT3G55120,0.011271587402064152
AT5G06430,AT1G52060,0.011266562779239106
AT5G02200,AT5G22880,0.011266513827854381
AT5G35753,AT5G48850,0.011259352595795464
AT5G44700,AT1G52690,0.011248527182816095
AT3G09650,AT2G07739,0.011244653778966232
AT5G20060,AT2G29440,0.011244528638100897
AT5G62350,AT3G33000,0.01123442692270893
AT4G01575,AT5G12900,0.011225458986994523
AT3G13235,AT4G34110,0.011224289010578864
AT5G13110,AT1G18590,0.011212512065576065
AT5G05870,AT5G61600,0.01121194775668086
AT1G20860,AT4G35410,0.011193500360365108
AT1G62880,AT1G04770,0.011186027069043612
AT3G14820,AT2G25110,0.01117109164966971
AT5G61040,AT5G20150,0.011163725725768863
AT5G65495,AT3G49040,0.01116333807264904
AT3G23310,AT1G20925,0.011150123295130926
AT2G46690,AT4G26740,0.011150012962287716
AT5G19430,AT2G34390,0.011145495478348463
AT5G54440,AT1G03880,0.011137233766436397
AT3G09650,AT3G32990,0.011135981742934467
AT2G16310,AT5G54060,0.01113085467690893
AT5G62630,AT2G07739,0.011116974601583346
AT5G53520,AT3G33004,0.011112208525855687
AT2G21050,AT5G61790,0.01110797061442605
AT2G21880,AT1G61520,0.011103868451496161
AT2G01930,AT2G36830,0.011097866680611563
AT5G62550,AT5G01200,0.011095337266408677
AT2G32080,AT5G06550,0.011088908731028994
AT4G34940,AT5G37690,0.01108731037355216
AT5G10780,AT1G75940,0.011081214895825902
AT1G68050,AT2G46650,0.01107681363598277
AT1G66890,AT5G47450,0.011067241004338412
AT3G06470,AT3G06420,0.011033165881378648
AT4G12460,AT3G46320,0.011019271866999324
AT5G14910,AT4G02770,0.011001136194809356
AT3G18540,AT4G39260,0.010990264553009768
AT5G67340,AT2G06960,0.010978956203161251
AT5G53520,AT3G32990,0.01093528904043
AT4G10330,AT1G05510,0.010927793731844456
AT3G10040,AT1G56650,0.01092564770289261
AT5G28040,AT4G02270,0.01092380157102471
AT4G01490,AT2G28490,0.010916414141129833
AT5G27880,AT3G58990,0.010913731490295299
AT2G46690,AT4G25140,0.010913359780893304
AT5G27540,AT1G04770,0.010911595255780502
AT1G31230,AT1G08380,0.010898053807259661
AT2G16130,AT3G19320,0.01089304810991132
AT5G53520,AT2G28820,0.010878002712206996
AT1G70750,AT3G61470,0.010876385621558836
AT3G49490,AT3G10040,0.010875642539679048
AT2G30200,AT3G53840,0.010872337608253214
AT4G12460,AT1G07820,0.01086658008577736
AT5G52820,AT5G39890,0.010860051126934452
AT3G44220,AT1G03880,0.01085081398039972
AT5G53390,AT4G22505,0.010845845169369902
AT4G00650,AT5G43090,0.01084473005118888
AT5G62630,AT2G07600,0.010841556937077583
AT3G23605,AT2G20870,0.0108351178335979
AT4G01490,AT1G48130,0.010827244645839982
AT5G33280,AT3G16460,0.010826872999914782
AT5G06250,AT3G46320,0.010822794229812615
AT3G54150,AT3G15450,0.01081376224098902
AT3G23160,AT5G42800,0.010812099855529302
AT3G14200,AT1G20340,0.010791253977925363
AT5G48910,AT3G05730,0.010790730874285257
AT4G27180,AT3G16470,0.010789589000381274
AT2G16130,AT5G06250,0.010776446725721658
AT3G11270,AT5G63085,0.01077358739926828
AT2G26980,AT5G12030,0.010759145376379026
AT5G66920,AT3G18290,0.010755742874797723
AT5G61660,AT3G02550,0.010750098649697332
AT1G26440,AT4G23660,0.010736827470360193
AT3G27470,AT2G47380,0.010732423674005087
AT3G54880,AT4G25820,0.010731350605923938
AT5G13260,AT5G37670,0.010729885705666842
AT5G38680,AT2G10920,0.010723760465221888
AT4G37280,AT2G20560,0.010722991176575762
AT5G25080,AT5G39760,0.010717712597585563
AT3G27840,AT5G06043,0.010716373511650713
AT4G12350,AT2G32860,0.010706334363724295
AT2G46020,AT5G19650,0.010701276114252768
AT5G02200,AT5G10390,0.01069751364786232
AT1G56310,AT4G38080,0.010695264847533534
AT2G16130,AT5G11890,0.010693607646551891
AT5G47220,AT1G64470,0.010682137594590782
AT2G01100,AT2G20130,0.010678863663345715
AT4G11680,AT1G68875,0.010672372517262241
AT1G48380,AT5G47120,0.010664556924915457
AT3G14310,AT4G38470,0.010654408354854542
AT5G56350,AT1G73010,0.010645260610337088
AT1G23270,AT3G27630,0.010638942804871649
AT5G42580,AT5G39090,0.010635472966475552
AT3G17430,AT5G09750,0.010628539909167485
AT2G35350,AT3G28550,0.01062785051472352
AT3G03810,AT5G59870,0.010621901549673777
AT2G05790,AT2G06845,0.010620380630555698
AT3G14700,AT1G59860,0.010619016270501862
AT5G55650,AT1G06560,0.010615900372519272
AT3G14200,AT1G30380,0.010614118545302087
AT1G24160,AT1G43980,0.01061157070518989
AT1G72230,AT5G09520,0.010608182002049384
AT1G70300,AT4G10265,0.010601067813254733
AT3G14790,AT3G04230,0.010597083892164669
AT1G29080,AT3G53840,0.010590119042451046
AT3G54310,AT3G62030,0.010560790506769
AT2G12650,AT4G38080,0.010548847906109169
AT5G46050,AT2G39330,0.01053971574470961
AT4G22530,AT5G42080,0.010534483253676659
AT3G59500,AT1G05510,0.010534057357119762
AT4G17895,AT1G64450,0.010531279132130537
AT4G36360,AT5G59690,0.010517939983884016
AT1G80400,AT5G17340,0.010517555447017171
AT3G01950,AT1G07940,0.010517172769047808
AT2G34670,AT1G52030,0.010514519498083954
AT5G25080,AT1G16510,0.010513902868327015
AT5G03100,AT1G07750,0.010502216432750216
AT2G19220,AT4G00860,0.010501991538600432
AT1G42705,AT3G55790,0.01049878400903621
AT5G61310,AT1G07820,0.010489984721306718
AT3G10530,AT2G26850,0.010483509329566782
AT4G36170,AT1G12920,0.010475171641964797
AT1G03990,AT1G78370,0.010467087722488529
AT4G17895,AT1G64380,0.01045841246421595
AT3G27470,AT3G10860,0.010454354496909504
AT3G13070,AT1G05420,0.010450139140796065
AT5G13260,AT1G16030,0.010448986218651533
AT5G05010,AT5G63560,0.010440363821731545
AT3G49490,AT3G29000,0.01043507736215833
AT1G70610,AT5G05500,0.010433918058741373
AT3G63160,AT1G06970,0.010433373381213864
AT1G03990,AT1G21440,0.010432533805255256
AT2G42890,AT3G22500,0.010422045068384114
AT4G35320,AT2G26150,0.010421222916548704
AT5G27880,AT3G54600,0.010421221800681887
AT5G62550,AT5G01730,0.010414490388594062
AT5G40460,AT1G75040,0.010386195948975245
AT3G14310,AT4G03510,0.010379099329887512
AT5G54440,AT5G55240,0.010377401438465736
AT2G31081,AT5G53450,0.010372388626406
AT2G05260,AT1G20480,0.010364330411300946
AT5G52820,AT3G02550,0.010358148266838915
AT1G01540,AT2G45960,0.010354879950322466
AT2G36750,AT2G02050,0.010350633424286349
AT5G53390,AT2G05580,0.010345476233366608
AT3G05090,AT4G10265,0.010340566507908815
AT4G34540,AT1G54040,0.010336463398286195
AT2G21880,AT5G54270,0.010334522781782162
AT3G52360,AT3G45980,0.010323728926755505
AT5G18710,AT1G04560,0.010322232655072865
AT3G57310,AT1G61520,0.010317038585159137
AT3G17430,AT3G55790,0.010315568687362447
AT1G70750,AT1G30380,0.010314385200498355
AT2G31081,AT5G13740,0.010300862212366799
AT1G49570,AT2G44080,0.010300115819363532
AT4G29540,AT1G48130,0.010297429193878998
AT5G42980,AT1G34030,0.010293123552297103
AT1G07330,AT4G15480,0.01028824652038448
AT2G45030,AT2G20560,0.01028626605419732
